1,0,100,0,0
2,100,0,0,0
3,0,0,0,100
4,0,100,0,0
5,0,0,100,0
6,100,0,0,0
7,0,0,0,100
8,0,0,100,0
9,0,100,0,0
10,0,0,100,0
11,0,0,0,100
12,0,100,0,0
13,100,0,0,0
14,0,0,0,100
15,0,95,5,0
16,3,96,1,0
17,0,99,0,1
18,0,100,0,0
19,0,2,98,0
20,100,0,0,0
21,0,0,100,0
22,0,0,100,0
23,0,100,0,0
24,0,62,0,38
25,13,20,67,0
26,57,14,18,11
27,11,20,13,56
28,0,48,52,0
29,0,61,39,0
30,44,0,56,0
31,12,0,23,65
32,0,59,41,0
33,57,30,13,0
34,0,48,0,52
35,0,61,24,15
36,30,60,9,1
37,0,53,0,47
38,0,57,43,0
39,0,38,62,0
40,57,10,23,10
41,0,0,54,46
42,0,49,51,0
43,41,59,0,0
44,0,0,0,100
45,0,0,100,0
46,0,100,0,0
47,0,0,100,0
48,0,0,0,100
49,0,0,0,100
50,0,0,0,100
51,0,0,0,100
52,100,0,0,0
53,0,100,0,0
54,0,98,0,2
55,0,13,87,0
56,0,16,0,84
57,97,0,3,0
58,88,0,0,12
59,0,89,0,11
60,100,0,0,0
61,0,0,0,100
62,0,100,0,0
63,0,0,0,100
64,0,46,0,54
65,0,43,57,0
66,0,59,0,41
67,20,14,56,10
68,25,3,11,61
69,0,41,6,53
70,40,8,0,52
71,0,58,0,42
72,53,33,14,0
73,55,12,14,19
74,0,52,0,48
75,27,38,30,5
76,0,40,13,47
77,50,8,42,0
78,48,23,0,29
79,0,56,0,44
80,51,0,0,49
81,0,54,0,46
82,43,21,36,0
83,34,21,30,15
